127.0.0.1 - - [21/Jun/2023:09:51:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:51:08 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:51:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:53:43 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:55:35 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:30 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:58:49 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 2199
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:01:46 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:03:37 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:03:52 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:04:57 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:05:50 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:06:35 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 2924
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:07:00 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 2901
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:08:37 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 2746
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:14:14 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:17:46 +0900] "GET /01_html/day03/ex01_table_span.html HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:36:19 +0900] "GET /01_html/day03/ex02_tableStyling.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:36:22 +0900] "GET /01_html/day03/ex02_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:40:17 +0900] "GET /01_html/day03/ex02_tableStyling.html HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:41:38 +0900] "GET /01_html/day03/ex02_tableStyling.html HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:43:25 +0900] "GET /01_html/day03/ex02_tableStyling.html HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:43:26 +0900] "GET /01_html/day03/ex02_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:43:44 +0900] "GET /01_html/day03/ex02_tableStyling.html HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:51:47 +0900] "GET /01_html/day03/ex02_tableStyling.html HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:57:02 +0900] "GET /01_html/day03/ex03_tableStyling.html HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:58:41 +0900] "GET /01_html/day03/ex03_tableStyling.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:00:30 +0900] "GET /01_html/day03/ex03_tableStyling.html HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:03:41 +0900] "GET /01_html/day03/ex04_tableStyling.html HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:04:00 +0900] "GET /01_html/day03/ex04_tableStyling.html HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:05:04 +0900] "GET /01_html/day03/ex04_tableStyling.html HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:06:18 +0900] "GET /01_html/day03/ex04_tableStyling.html HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:06:19 +0900] "GET /01_html/day03/ex04_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:08:36 +0900] "GET /01_html/day03/ex05_tableStyling.html HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:12:06 +0900] "GET /01_html/day03/ex04_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:12:15 +0900] "GET /01_html/day03/ex05_tableStyling.html HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:17:16 +0900] "GET /01_html/day03/ex06_tableStyling.html HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:23:16 +0900] "GET /01_html/day03/ex06_tableStyling.html HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:24:12 +0900] "GET /01_html/day03/ex06_tableStyling.html HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:24:56 +0900] "GET /01_html/day03/ex06_tableStyling.html HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:46:07 +0900] "GET /01_html/day03/ex07_tableStyling.html HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:53:27 +0900] "GET /01_html/day03/ex07_tableStyling.html HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:56:17 +0900] "GET /01_html/day03/ex07_tableStyling.html HTTP/1.1" 200 1494
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:01:44 +0900] "GET /01_html/day03/ex08_ul_menu.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:08:19 +0900] "GET /01_html/day03/ex08_ul_menu.html HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:09:52 +0900] "GET /01_html/day03/ex08_ul_menu.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:11:00 +0900] "GET /01_html/day03/ex08_ul_menu.html HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:19:47 +0900] "GET /01_html/day03/ex09_block_inline.html HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:21:49 +0900] "GET /01_html/day03/ex09_block_inline.html HTTP/1.1" 200 659
